month,count
2007-05,189025
2007-06,5227
2007-07,4899
2007-08,2708
2007-09,2772
2007-10,3349
2007-11,3196
2007-12,2863
2008-01,2968
2008-02,16406
2008-03,2895
2008-04,3921
2008-05,3034
2008-06,3085
2008-07,3582
2008-08,2889
2008-09,3543
2008-10,3891
2008-11,53639
2008-12,9792
2009-01,6211
2009-02,6033
2009-03,5550
2009-04,5875
2009-05,4485
2009-06,6826
2009-07,6343
2009-08,5262
2009-09,16341
2009-10,92197
2009-11,163847
2009-12,6631
2010-01,6967
2010-02,7127
2010-03,6638
2010-04,11510
2010-05,7120
2010-06,5316
2010-07,5506
2010-08,4831
2010-09,5647
2010-10,7494
2010-11,13127
2010-12,8157
2011-01,6591
2011-02,9948
2011-03,9108
2011-04,7993
2011-05,8979
2011-06,7508
2011-07,9560
2011-08,8936
2011-09,9477
2011-10,7181
2011-11,10195
2011-12,6855
2012-01,7041
2012-02,7468
2012-03,7802
2012-04,7324
2012-05,7821
2012-06,7991
2012-07,8661
2012-08,10182
2012-09,7580
2012-10,9768
2012-11,8438
2012-12,7410
2013-01,10167
2013-02,8701
2013-03,9023
2013-04,9623
2013-05,17726
2013-06,8532
2013-07,9507
2013-08,8879
2013-09,9128
2013-10,10598
2013-11,9510
2013-12,9844
2014-01,10381
2014-02,10498
2014-03,10238
2014-04,10155
2014-05,9961
2014-06,8891
2014-07,10711
2014-08,8956
2014-09,10405
2014-10,13319
2014-11,29194
2014-12,11893
2015-01,10048
2015-02,9954
2015-03,28720
2015-04,10937
2015-05,78732
2015-06,124210
2015-07,12489
2015-08,11504
2015-09,15208
2015-10,14197
2015-11,12560
2015-12,14064
2016-01,15051
2016-02,14356
2016-03,16116
2016-04,14844
2016-05,14995
2016-06,16159
2016-07,12914
2016-08,30088
2016-09,25357
2016-10,14774
2016-11,26914
2016-12,15537
2017-01,14917
2017-02,14728
2017-03,17349
2017-04,15870
2017-05,16705
2017-06,15195
2017-07,14028
2017-08,21205
2017-09,16927
2017-10,17123
2017-11,18182
2017-12,15446
2018-01,16882
2018-02,17299
2018-03,18657
2018-04,17469
2018-05,19879
2018-06,17612
2018-07,18519
2018-08,19859
2018-09,17448
2018-10,21045
2018-11,19797
2018-12,18819
2019-01,18472
2019-02,20317
2019-03,19952
2019-04,20081
2019-05,23619
2019-06,20862
2019-07,23576
2019-08,28580
2019-09,23597
2019-10,26611
2019-11,21469
2019-12,21516
2020-01,27395
2020-02,24000
2020-03,24515
2020-04,26988
2020-05,25565
2020-06,28356
2020-07,31478
2020-08,26216
2020-09,26508
2020-10,29692
2020-11,25598
2020-12,27715
2021-01,26727
2021-02,27282
2021-03,31668
2021-04,27763
2021-05,26920
2021-06,31545
2021-07,27918
2021-08,26999
2021-09,29801
2021-10,29010
2021-11,29136
2021-12,27471
2022-01,26725
2022-02,26923
2022-03,33237
2022-04,27248
2022-05,28700
2022-06,29932
2022-07,27973
2022-08,28785
2022-09,29748
2022-10,32436
2022-11,32786
2022-12,27294
2023-01,27608
2023-02,28490
2023-03,35257
2023-04,29020
2023-05,36592
2023-06,37002
2023-07,33691
2023-08,36843
2023-09,32671
2023-10,38901
2023-11,36496
2023-12,33721
2024-01,35517
2024-02,36961
2024-03,39698
2024-04,39883
2024-05,41098
2024-06,42259
2024-07,44421
2024-08,37832
2024-09,43760
2024-10,57952
2024-11,45539
2024-12,52082
2025-01,47579
2025-02,53358
2025-03,61278
2025-04,62294
2025-05,70610
2025-06,71682
